ZIP,LAT,LNG,DIST,POPULATION,IMPACT,POP_DENSITY
27406,36.000542,-79.764677,281.76136695095306,56458,LOW,HIGH
27407,36.008599,-79.87816,290.11873153250184,46242,LOW,HIGH
27408,36.103667,-79.813712,292.66705116811147,17296,LOW,MEDIUM
27409,36.103729,-79.93983,301.1785613000295,15621,LOW,MEDIUM
27410,36.117523,-79.894239,299.0916276395565,52388,LOW,HIGH
27455,36.18750900000001,-79.817677,299.2562276590663,28706,LOW,HIGH
27501,35.484941,-78.68457,172.02054771300777,17571,MEDIUM,MEDIUM
27502,35.71525,-78.920992,205.3691776744564,30831,MEDIUM,HIGH
27503,36.152948,-78.884485,242.326419911703,3471,MEDIUM,LOW
27504,35.400309,-78.51827800000002,155.10157327222316,14566,MEDIUM,MEDIUM
27505,35.423475,-79.001029,187.63907366278747,5896,MEDIUM,LOW
27507,36.513542,-78.56949399999998,264.63166890908326,1929,LOW,LOW
27508,35.956874,-78.248144,196.4187941894031,2053,MEDIUM,LOW
27509,36.11864,-78.781001,234.1436425958229,10167,MEDIUM,MEDIUM
27510,35.91578300000001,-79.082604,231.77531152061798,14644,MEDIUM,MEDIUM
27511,35.76341400000001,-78.788528,201.9316594671336,32029,MEDIUM,HIGH
27513,35.80210200000001,-78.802719,206.1294871065607,40755,MEDIUM,HIGH
27514,35.96674,-79.049419,234.23807125191146,32110,MEDIUM,HIGH
27516,35.906197,-79.154855,235.24352289639927,36139,MEDIUM,HIGH
27517,35.850468,-79.023121,222.77110911024647,23346,MEDIUM,MEDIUM
27518,35.731139,-78.773206,198.2459488240772,19630,MEDIUM,MEDIUM
27519,35.80857800000001,-78.883326,211.15716939474194,39178,MEDIUM,HIGH
27520,35.619732,-78.477026,172.60952125197534,36357,MEDIUM,HIGH
27521,35.412121,-78.655865,164.25284178748163,6035,MEDIUM,LOW
27522,36.105618,-78.675202,228.06727126323858,12335,MEDIUM,MEDIUM
27523,35.773618,-78.956926,212.39775078129304,9552,MEDIUM,LOW
27524,35.394563,-78.38759499999998,147.377725272659,12338,LOW,MEDIUM
27525,36.13610900000001,-78.45809799999998,222.19379055672962,13338,MEDIUM,MEDIUM
27526,35.54401,-78.829824,185.71420444759573,38894,MEDIUM,HIGH
27527,35.653948,-78.381715,171.34275112029536,18216,MEDIUM,MEDIUM
27529,35.655625,-78.584906,181.3831363010414,42128,MEDIUM,HIGH
27530,35.381174,-78.06251400000002,131.02733028986276,40117,LOW,HIGH
27531,35.342994,-77.964411,123.53090762360357,594,LOW,LOW
27534,35.37347800000001,-77.896666,124.50855144795499,31364,LOW,HIGH
27536,36.326731,-78.409125,239.97460686797098,17289,MEDIUM,MEDIUM
27537,36.371801,-78.397878,244.28184323330532,24319,MEDIUM,MEDIUM
27539,35.676537,-78.81344399999998,195.79059543404085,18692,MEDIUM,MEDIUM
27540,35.615062,-78.891559,195.30293490640577,29363,MEDIUM,HIGH
27541,36.264862,-79.083217,262.6024441196109,3770,LOW,LOW
27542,35.618293,-78.136838,157.81270113781065,9133,MEDIUM,LOW
27544,36.19973,-78.446559,228.22547426241775,4449,MEDIUM,LOW
27545,35.78372,-78.478238,188.19680079888903,23006,MEDIUM,MEDIUM
27546,35.385317,-78.862107,175.3911690338114,19471,MEDIUM,MEDIUM
27549,36.101663,-78.232233,210.94777873259085,24112,MEDIUM,MEDIUM
27551,36.432843,-78.05017,241.64403057952725,1962,MEDIUM,LOW
27553,36.4865,-78.30279300000002,253.47773248014332,2937,LOW,LOW
27555,35.562683,-78.204133,154.79160307262939,441,MEDIUM,LOW
27556,36.40839,-78.314748,245.57671554902166,346,MEDIUM,LOW
27557,35.779135,-78.198512,176.4434595524012,7509,MEDIUM,LOW
27559,35.628213,-79.102818,209.74558056717763,2288,MEDIUM,LOW
27560,35.857892,-78.827698,212.4450227842011,22623,MEDIUM,MEDIUM
27562,35.640448,-78.990037,203.4680980675606,1938,MEDIUM,LOW
27563,36.41571,-78.229388,243.99310923848788,5008,MEDIUM,LOW
27565,36.361651,-78.64895200000002,252.18073791348402,25255,LOW,HIGH
27568,35.510124,-78.245099,151.34294399942607,480,MEDIUM,LOW
27569,35.429065,-78.182749,140.72503897611358,8022,LOW,LOW
27571,35.91949,-78.45803599999998,200.54906747299833,3893,MEDIUM,LOW
27572,36.255106,-78.877494,251.6070660680927,6546,LOW,LOW
27573,36.396597,-78.976099,269.6387252170836,11414,LOW,MEDIUM
27574,36.478361,-78.86491099999998,272.5600900774722,14373,LOW,MEDIUM
27576,35.577524,-78.26131099999998,158.63133472647445,17091,MEDIUM,MEDIUM
27577,35.489638,-78.332894,153.4005153887386,22911,MEDIUM,MEDIUM
27581,36.19960800000001,-78.728985,239.54176361024423,3049,MEDIUM,LOW
27582,36.467324,-78.576588,260.1561524877838,289,LOW,LOW
27583,36.292958,-78.935362,257.9134722401231,6921,LOW,LOW
27587,35.986719,-78.554351,211.2281610925767,53078,MEDIUM,HIGH
27589,36.322541,-78.133484,231.62900977645177,8370,MEDIUM,LOW
27591,35.78417,-78.388983,184.3337640809848,19589,MEDIUM,MEDIUM
