population,minimum_age,maximum_age,gender,zipcode,geo_id
34167,,,,28208,8600000US28208
20317,,,,28209,8600000US28209
42263,,,,28210,8600000US28210
28523,,,,28211,8600000US28211
38457,,,,28212,8600000US28212
37309,,,,28213,8600000US28213
34721,,,,28214,8600000US28214
53629,,,,28215,8600000US28215
47208,,,,28216,8600000US28216
24204,,,,28217,8600000US28217
37286,,,,28226,8600000US28226
49635,,,,28227,8600000US28227
0,,,,28244,8600000US28244
37547,,,,28262,8600000US28262
71048,,,,28269,8600000US28269
31525,,,,28270,8600000US28270
31478,,,,28273,8600000US28273
59664,,,,28277,8600000US28277
19283,,,,28278,8600000US28278
10,,,,28280,8600000US28280
0,,,,28282,8600000US28282
17165,,,,28301,8600000US28301
30909,,,,28303,8600000US28303
37147,,,,28304,8600000US28304
6073,,,,28305,8600000US28305
39683,,,,28306,8600000US28306
17631,,,,28307,8600000US28307
405,,,,28308,8600000US28308
3459,,,,28310,8600000US28310
34567,,,,28311,8600000US28311
18538,,,,28312,8600000US28312
54520,,,,28314,8600000US28314
11681,,,,28315,8600000US28315
4627,,,,28318,8600000US28318
9229,,,,28320,8600000US28320
3182,,,,28323,8600000US28323
508,,,,28325,8600000US28325
17646,,,,28326,8600000US28326
15433,,,,28327,8600000US28327
27042,,,,28328,8600000US28328
346,,,,28330,8600000US28330
482,,,,28332,8600000US28332
11830,,,,28333,8600000US28333
24908,,,,28334,8600000US28334
10670,,,,28337,8600000US28337
4607,,,,28338,8600000US28338
6751,,,,28339,8600000US28339
10765,,,,28340,8600000US28340
4257,,,,28341,8600000US28341
298,,,,28342,8600000US28342
1685,,,,28343,8600000US28343
3415,,,,28344,8600000US28344
12592,,,,28345,8600000US28345
1983,,,,28347,8600000US28347
33307,,,,28348,8600000US28348
3724,,,,28349,8600000US28349
305,,,,28350,8600000US28350
4759,,,,28351,8600000US28351
25641,,,,28352,8600000US28352
5018,,,,28356,8600000US28356
3125,,,,28357,8600000US28357
38738,,,,28358,8600000US28358
14263,,,,28360,8600000US28360
1202,,,,28363,8600000US28363
14809,,,,28364,8600000US28364
17144,,,,28365,8600000US28365
5061,,,,28366,8600000US28366
87,,,,28367,8600000US28367
2652,,,,28369,8600000US28369
6519,,,,28371,8600000US28371
14783,,,,28372,8600000US28372
2150,,,,28373,8600000US28373
15990,,,,28374,8600000US28374
102,,,,28375,8600000US28375
37991,,,,28376,8600000US28376
12666,,,,28377,8600000US28377
26388,,,,28379,8600000US28379
7056,,,,28382,8600000US28382
8080,,,,28383,8600000US28383
12097,,,,28384,8600000US28384
3029,,,,28385,8600000US28385
6319,,,,28386,8600000US28386
13921,,,,28387,8600000US28387
19942,,,,28390,8600000US28390
5302,,,,28391,8600000US28391
1579,,,,28392,8600000US28392
2005,,,,28393,8600000US28393
5164,,,,28394,8600000US28394
2375,,,,28395,8600000US28395
2732,,,,28396,8600000US28396
8112,,,,28398,8600000US28398
2140,,,,28399,8600000US28399
22094,,,,28401,8600000US28401
36063,,,,28403,8600000US28403
29152,,,,28405,8600000US28405
31296,,,,28409,8600000US28409
31962,,,,28411,8600000US28411
35573,,,,28412,8600000US28412
3886,,,,28420,8600000US28420
1521,,,,28421,8600000US28421
6641,,,,28422,8600000US28422
2290,,,,28423,8600000US28423
128,,,,28424,8600000US28424
10906,,,,28425,8600000US28425
6033,,,,28428,8600000US28428
8026,,,,28429,8600000US28429
1900,,,,28430,8600000US28430
7102,,,,28431,8600000US28431
1968,,,,28432,8600000US28432
5050,,,,28433,8600000US28433
1329,,,,28434,8600000US28434
2490,,,,28435,8600000US28435
2203,,,,28436,8600000US28436
1845,,,,28438,8600000US28438
1595,,,,28439,8600000US28439
3198,,,,28441,8600000US28441
1647,,,,28442,8600000US28442
17512,,,,28443,8600000US28443
2085,,,,28444,8600000US28444
5676,,,,28445,8600000US28445
1391,,,,28447,8600000US28447
1243,,,,28448,8600000US28448
1692,,,,28449,8600000US28449
2438,,,,28450,8600000US28450
27112,,,,28451,8600000US28451
694,,,,28452,8600000US28452
3829,,,,28453,8600000US28453
2545,,,,28454,8600000US28454
2117,,,,28455,8600000US28455
3658,,,,28456,8600000US28456
9905,,,,28457,8600000US28457
6444,,,,28458,8600000US28458
7652,,,,28460,8600000US28460
16126,,,,28461,8600000US28461
11680,,,,28462,8600000US28462
9799,,,,28463,8600000US28463
2457,,,,28464,8600000US28464
6531,,,,28465,8600000US28465
10103,,,,28466,8600000US28466
8703,,,,28467,8600000US28467
4375,,,,28468,8600000US28468
5839,,,,28469,8600000US28469
10644,,,,28470,8600000US28470
19658,,,,28472,8600000US28472
4588,,,,28478,8600000US28478
4903,,,,28479,8600000US28479
2473,,,,28480,8600000US28480
20389,,,,28501,8600000US28501
21642,,,,28504,8600000US28504
2737,,,,28508,8600000US28508
1502,,,,28510,8600000US28510
694,,,,28511,8600000US28511
2896,,,,28512,8600000US28512
10346,,,,28513,8600000US28513
2915,,,,28515,8600000US28515
11431,,,,28516,8600000US28516
7909,,,,28518,8600000US28518
404,,,,28519,8600000US28519
327,,,,28520,8600000US28520
2287,,,,28521,8600000US28521
2456,,,,28523,8600000US28523
426,,,,28524,8600000US28524
3132,,,,28525,8600000US28525
2489,,,,28526,8600000US28526
1140,,,,28527,8600000US28527
644,,,,28528,8600000US28528
2193,,,,28529,8600000US28529
7332,,,,28530,8600000US28530
1207,,,,28531,8600000US28531
23320,,,,28532,8600000US28532
2952,,,,28533,8600000US28533
137,,,,28537,8600000US28537
2175,,,,28538,8600000US28538
15469,,,,28539,8600000US28539
49252,,,,28540,8600000US28540
4699,,,,28543,8600000US28543
5368,,,,28544,8600000US28544
42696,,,,28546,8600000US28546
21884,,,,28547,8600000US28547
14093,,,,28551,8600000US28551
254,,,,28552,8600000US28552
454,,,,28553,8600000US28553
243,,,,28554,8600000US28554
5175,,,,28555,8600000US28555
963,,,,28556,8600000US28556
14429,,,,28557,8600000US28557
28921,,,,28560,8600000US28560
36176,,,,28562,8600000US28562
21432,,,,28570,8600000US28570
2585,,,,28571,8600000US28571
6531,,,,28572,8600000US28572
2176,,,,28573,8600000US28573
15102,,,,28574,8600000US28574
316,,,,28575,8600000US28575
522,,,,28577,8600000US28577
6363,,,,28578,8600000US28578
622,,,,28579,8600000US28579
12657,,,,28580,8600000US28580
214,,,,28581,8600000US28581
1588,,,,28582,8600000US28582
281,,,,28583,8600000US28583
11396,,,,28584,8600000US28584
3942,,,,28585,8600000US28585
8218,,,,28586,8600000US28586
369,,,,28587,8600000US28587
180,,,,28589,8600000US28589
23407,,,,28590,8600000US28590
3655,,,,28594,8600000US28594
50026,,,,28601,8600000US28601
28981,,,,28602,8600000US28602
6249,,,,28604,8600000US28604
3412,,,,28605,8600000US28605
2158,,,,28606,8600000US28606
33059,,,,28607,8600000US28607
5864,,,,28609,8600000US28609
